City,_1950,_1960,_1970,_1980,_1990,_2000,_2010
Bay Village,10,6,3,9,17,43,85
Beachwood,13,37,207,593,847,1106,1635
Bedford  ,5,2,0,39,640,2506,5479
Bedford Hts.,354,1,113,3523,6378,7669,8263
Bentleyville,3,0,5,3,8,8,6
Berea,382,450,701,969,1014,974,1260
Bratenahl,11,21,14,45,83,165,186
Brecksville,26,28,172,192,232,255,238
Broadview Hts.,2,67,53,98,141,126,400
Brook Park,35,6,80,278,242,414,624
Brooklyn,0,0,21,67,107,196,577
Brooklyn Hts.,1,0,0,1,4,12,18
Chagrin Falls,0,1,19,14,14,2,18
Chagrin Falls Twp.,0,0,0,0,0,0,0
Cleveland Hts.,434,241,1465,14061,20053,20949,19587
Cuyahoga Hts.,0,0,0,0,0,0,4
East Cleveland,82,804,23144,31980,31008,25305,16638
Euclid,79,44,299,4548,8764,16114,25751
Fairview Park,2,5,5,16,41,113,303
Garfield Hts.,105,225,1837,4977,4688,5164,10288
Gates Mills,12,31,0,6,5,23,30
Glenwillow,0,2,9,6,5,19,265
Highland Hts.,0,0,11,3,19,112,155
Hunting Valley,7,7,3,6,1,1,4
Independence,0,6,9,8,20,41,30
Lakewood,61,23,19,143,508,1116,3340
Linndale,11,25,0,7,36,22,50
Lyndhurst,3,11,0,30,75,205,901
Maple Hts.,167,255,679,968,3988,11598,15788
Mayfield  ,8,0,0,0,9,45,96
Mayfield Hts.,11,14,46,223,379,577,1979
Middleburg Hts.,17,10,4,46,107,206,253
Moreland Hills,6,8,5,20,49,100,123
Newburgh Hts.,0,0,0,0,14,75,323
North Olmsted,1,6,4,181,236,345,654
North Randall,1,2,3,203,522,650,886
North Royalton,1,0,0,23,97,203,348
Oakwood,,884,905,1633,1650,2062,2372
Olmsted Falls,1,0,0,57,31,104,179
Olmsted Twp.,2,23,50,52,45,,318
Orange,4,3,30,202,268,409,480
Parma,30,132,41,364,641,905,1887
Parma Hts.,19,0,0,27,82,253,571
Pepper Pike,4,21,32,87,205,294,386
Richmond Hts.,1,4,7,114,743,2614,4731
Riveredge Twp.*,0,0,0,1,0,,
Rocky River,22,27,14,24,39,84,204
Seven Hills,0,0,0,9,14,18,96
Shaker Hts.,558,356,5227,7917,9453,10251,10545
Solon,24,4,3,127,625,1334,2476
South Euclid,28,22,8,569,2179,5060,9073
Strongsville,4,1,22,192,275,551,845
University Hts.,107,45,78,1475,2417,2916,3133
Valley View,11,9,0,0,15,6,31
Walton Hills,246,13,30,0,33,50,185
Warrensville Hts.,8,20,4007,12416,14011,13780,12657
Warrensville Twp. / Highland Hills**,370,471,634,741,1052,1053,841
Westlake,2,2,14,25,162,301,518
Woodmere,61,138,274,338,405,411,547
