year,street_number,street_number_normal,street,location,building_name,interior_number,occupant_name,occupant_type,category,notes,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
1937,201,201,Euclid Avenue,"201 Euclid Avenue, Cleveland, Ohio",,,Sherman Stores Co.,men's clo,RETAIL | Men's Clothing,,41.499688,-81.692163,1,range_interpolation,201,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,215,215,Euclid Avenue,"215 Euclid Avenue, Cleveland, Ohio",Williamson Building,lobby,Patch Harry D cigars,cigars,RETAIL | Tobacconist,,41.4997,-81.692114,1,range_interpolation,215,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,216,216,Euclid Avenue,"216 Euclid Avenue, Cleveland, Ohio",,,Kresge S S Co,dept store,RETAIL | Discount Variety,,41.499487,-81.691632,1,range_interpolation,216,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,221,221,Euclid Avenue,"221 Euclid Avenue, Cleveland, Ohio",,,Second Federal Savings & Loan Assn of Cleveland O,savings & loan,"FINANCE, INSURANCE, AND REAL ESTATE | Savings and Loan Association",,41.499706,-81.692081,1,range_interpolation,221,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,225,225,Euclid Avenue,"225 Euclid Avenue, Cleveland, Ohio",,,Goodman Bernard,men's furnishings,RETAIL | Men's Clothing,,41.499711,-81.69206,1,range_interpolation,225,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,227,227,Euclid Avenue,"227 Euclid Avenue, Cleveland, Ohio",,,Heil A J Florist Inc,florist,RETAIL | Florist,,41.499713,-81.692049,1,range_interpolation,227,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,229,229,Euclid Avenue,"229 Euclid Avenue, Cleveland, Ohio",,,Feld's Floor Covering Co.,,RETAIL | Housewares,,41.499715,-81.692038,1,range_interpolation,229,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,234,234,Euclid Avenue,"234 Euclid Avenue, Cleveland, Ohio",,,Chandler & Rudd Co,gros,RETAIL | Grocery,Good article about death of owner George Arthur Rudd in PD 8-18-1933,41.499495,-81.69159,1,range_interpolation,234,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,240,240,Euclid Avenue,"240 Euclid Avenue, Cleveland, Ohio",,,Ames Co,dept store,RETAIL | Furniture,Confirmed: sold office furniture until they moved in 1939,41.499498,-81.691576,1,range_interpolation,240,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,241,241,Euclid Avenue,"241 Euclid Avenue, Cleveland, Ohio",Two Hundred and Forty-One Euclid Av Bldg,lobby,Clark Restr Co (br),,FOOD SERVICES AND DRINKING PLACES | Restaurants and Eateries,,41.499727,-81.691972,1,range_interpolation,241,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,245,245,Euclid Avenue,"245 Euclid Avenue, Cleveland, Ohio",,,Kibler Co,men's clo,RETAIL | Men's Clothing,,41.499732,-81.69195,1,range_interpolation,245,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,297,297,Euclid Avenue,"297 Euclid Avenue, Cleveland, Ohio",,,Wormser Hat Stores Inc,(br),RETAIL | Other Clothing and Accessories,,41.499786,-81.691664,1,range_interpolation,297,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,303,303,Euclid Avenue,"303 Euclid Avenue, Cleveland, Ohio",,,Mall Theatre,motion pictures,ENTERTAINMENT | Theater,,41.499793,-81.691631,1,range_interpolation,303,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,308,308,Euclid Avenue,"308 Euclid Avenue, Cleveland, Ohio",Three Hundred and Eight Euclid Ave Bldg,lobby,Central National Bank,,"FINANCE, INSURANCE, AND REAL ESTATE | Bank",,41.49945,-81.690913,1,rooftop,308,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,Cuyahoga
1937,312,312,Euclid Avenue,"312 Euclid Avenue, Cleveland, Ohio",,,Red Robin Shops Inc,women's furngs,RETAIL | Women's Clothing,,41.499532,-81.691157,1,range_interpolation,312,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,318,318,Euclid Avenue,"318 Euclid Avenue, Cleveland, Ohio",,,Allens Shoe Store,,RETAIL | Shoes,,41.499539,-81.691115,1,range_interpolation,318,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,321,321,Euclid Avenue,"321 Euclid Avenue, Cleveland, Ohio",,,Rosenblum's Inc,clo,RETAIL | Other Clothing and Accessories,,41.499812,-81.691532,1,range_interpolation,321,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,321,321,Euclid Avenue,"321 Euclid Avenue, Cleveland, Ohio",,,Lustig Leroy F,adv agcy,"SERVICE | Advertising, Marketing, and Commercial Art",,41.499812,-81.691532,1,range_interpolation,321,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,322,322,Euclid Avenue,"322 Euclid Avenue, Cleveland, Ohio",,,Lerner Shops of Ohio Inc,women's furngs,RETAIL | Women's Clothing,,41.49954,-81.690604,1,rooftop,322,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,Cuyahoga
1937,323,323,Euclid Avenue,"323 Euclid Avenue, Cleveland, Ohio",,,Union Savings & Loan Co,,"FINANCE, INSURANCE, AND REAL ESTATE | Savings and Loan Association",,41.499814,-81.691521,1,range_interpolation,323,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
1937,328,328,Euclid Avenue,"328 Euclid Avenue, Cleveland, Ohio",,,Fox I J Inc,furs,RETAIL | Other Clothing and Accessories,,41.499551,-81.691044,1,range_interpolation,328,Euclid Ave,,,Cleveland,OH,Cuyahoga County,44114,US,TIGER/Line® dataset from the US Census Bureau
